AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
3,1,0,11,0,4,0,0,12,0,25,1,5,114,13,27,0,0,1,0,0,14,30,0,5,3,7,17,6,26,4,0,0,12,0,0,0,2,300,4,1,0,123,110,0,0,0,16,27,2,35,1,0,0,0,0,1,0,6,0,150,334,1,0,0,0
2,0,17,47,3,3,0,1,9,3,0,28,4,115,3,19,2,0,0,1,1,0,1,0,7,0,3,12,7,28,2,3,0,0,0,0,2,0,169,0,2,0,82,56,1,0,5,0,90,2,36,4,0,1,0,0,0,0,5,94,208,833,0,0,2,0
7,3,14,60,9,0,4,0,6,1,0,20,2,321,19,26,27,0,0,0,1,0,10,0,1,0,30,0,20,40,3,0,1,0,0,0,0,0,0,1,2,0,36,0,0,0,1,1,41,13,34,10,0,0,0,0,0,0,7,0,330,5250,0,0,4,0
5,0,5,0,7,0,0,0,7,3,0,40,1,159,10,25,10,0,0,0,0,0,0,0,3,0,8,0,8,62,0,0,1,0,0,3,1,0,0,0,1,0,31,0,4,0,5,0,139,67,28,6,0,0,0,0,0,0,8,0,302,2926,0,0,2,0
0,6,0,0,0,18,9,1,9,4,0,10,0,97,19,3,1,0,42,2,0,235,8,0,0,17,9,0,8,1,0,0,3,483,0,0,0,3,87,2,3,0,0,29,0,0,0,26,37,1,9,3,36,0,0,0,0,0,2,0,311,124,4,0,0,0
0,0,0,43,0,12,11,0,12,0,0,11,0,36,4,2,0,0,98,2,3,71,8,0,0,11,1,0,1,8,1,0,1,307,0,0,0,3,53,0,1,0,0,32,0,0,1,6,119,0,7,6,20,3,0,0,0,0,4,0,359,39,1,0,0,2
0,4,0,39,0,4,7,0,7,10,1,1,0,271,16,6,1,0,24,0,0,246,3,0,1,16,3,2,8,4,0,0,2,783,0,0,0,2,54,3,1,0,5,23,0,1,0,0,43,0,7,3,6,8,1,0,0,1,2,0,425,161,1,0,1,0
0,0,0,55,0,15,4,0,12,0,0,14,1,374,7,4,1,0,142,6,3,38,4,0,2,9,2,1,0,2,1,1,0,585,0,2,1,2,51,0,0,0,14,26,0,0,9,1,116,0,4,8,13,6,2,0,0,0,2,0,216,26,2,0,2,1
0,237,0,17,0,19,4,0,1,1,2,4,2,103,9,1,0,10,80,1,0,213,6,0,0,17,2,1,0,1,0,0,0,86,0,0,0,5,82,7,7,0,7,127,0,0,0,9,53,0,3,2,0,1,0,0,0,1,1,0,442,109,2,0,3,0
0,5,0,12,0,23,0,0,6,0,0,0,2,72,3,14,1,4,241,1,2,12,3,0,0,14,2,0,0,1,0,2,0,323,0,1,0,4,133,4,5,0,36,242,0,0,3,3,90,0,5,2,0,0,12,0,0,1,1,0,405,39,0,0,1,0
